City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
paarl,-33.7338,18.9752,51.12,86,0,6.91,ZA,1630971895
ulaangom,49.9811,92.0667,60.53,39,0,6.17,MN,1630971895
faanui,-16.4833,-151.75,79.12,74,19,15.39,PF,1630971896
brigantine,39.4101,-74.3646,78.01,68,4,6.4,US,1630971896
alice springs,-23.7,133.8833,54.95,47,0,21.85,AU,1630971896
illapel,-31.6308,-71.1653,50.16,88,23,3.38,CL,1630971897
arraial do cabo,-22.9661,-42.0278,70.99,86,28,9.55,BR,1630971681
sao filipe,14.8961,-24.4956,79.03,84,26,4.92,CV,1630971898
hithadhoo,-0.6,73.0833,82.44,72,100,10.96,MV,1630971898
chikwawa,-16.0335,34.8009,73.31,53,1,0.22,MW,1630971898
broome,42.2506,-75.833,64.58,87,11,1.01,US,1630971899
kruisfontein,-34.0033,24.7314,49.89,89,72,4.43,ZA,1630971899
lake station,41.575,-87.2389,77.49,61,1,10.36,US,1630971900
new norfolk,-42.7826,147.0587,54.9,62,94,5.99,AU,1630971900
saskylakh,71.9167,114.0833,44.1,80,77,9.86,RU,1630971901
aksu,41.1231,80.2644,68.85,32,0,2.3,CN,1630971901
kumluca,36.3703,30.2869,78.12,53,0,4.03,TR,1630971902
isiolo,0.3546,37.5822,66.04,71,6,9.33,KE,1630971902
banda aceh,5.5577,95.3222,78.19,82,42,3.33,ID,1630971902
byron bay,-28.65,153.6167,64.35,54,38,14.34,AU,1630971695
chernyshevskiy,63.0128,112.4714,46.4,72,100,5.32,RU,1630971904
portland,45.5234,-122.6762,86.7,34,20,1.99,US,1630971736
compiegne,49.4179,2.8261,69.1,72,62,4.52,FR,1630971905
sumbe,-11.2061,13.8437,70.81,88,10,3.94,AO,1630971905
mitsamiouli,-11.3847,43.2844,75.2,71,28,1.68,KM,1630971906
kosamba,21.4833,72.95,78.8,91,100,4.12,IN,1630971906
ust-kuyga,70.0167,135.6,39.7,74,100,11.25,RU,1630971907
iranshahr,27.2025,60.6848,88.75,29,14,4.59,IR,1630971907
gizo,-8.103,156.8419,82.4,74,98,10.31,SB,1630971907
geraldton,-28.7667,114.6,52.21,58,0,5.75,AU,1630971908
arteaga,18.4667,-102.4167,67.66,97,100,2.86,MX,1630971908
caravelas,-17.7125,-39.2481,74.64,89,0,8.08,BR,1630971909
nanortalik,60.1432,-45.2371,41.11,88,12,13.42,GL,1630971909
newport,51.5877,-2.9984,68.68,88,15,3.24,GB,1630971725
lebu,-37.6167,-73.65,47.89,87,94,4.76,CL,1630971910
kandalaksha,67.162,32.4123,35.1,90,51,5.08,RU,1630971910
mount gambier,-37.8333,140.7667,53.51,82,75,11.5,AU,1630971911
gobabis,-22.45,18.9667,52.57,25,0,10.54,NA,1630971911
hervey bay,-25.2986,152.8535,66.31,52,30,19.91,AU,1630971912
merthyr tydfil,51.7479,-3.3778,66.29,87,48,1.52,GB,1630971912
gushikawa,26.3544,127.8686,83.43,89,1,0.0,JP,1630971913
kaeo,-35.1,173.7833,60.33,92,100,7.45,NZ,1630971913
touros,-5.1989,-35.4608,76.1,76,31,14.9,BR,1630971913
pangnirtung,66.1451,-65.7125,41.67,77,26,3.83,CA,1630971914
celestun,20.8667,-90.4,79.0,83,100,6.02,MX,1630971914
coolum beach,-26.5333,153.1,67.33,43,0,13.31,AU,1630971915
venado tuerto,-33.7456,-61.9688,57.76,82,100,6.31,AR,1630971915
kerema,-7.9631,145.7785,79.45,79,99,1.45,PG,1630971915
iqaluit,63.7506,-68.5145,47.93,66,90,13.8,CA,1630971917
goderich,43.7501,-81.7165,67.91,59,10,6.91,CA,1630971918
sao jose da coroa grande,-8.8978,-35.1478,74.7,76,21,7.76,BR,1630971918
cabo san lucas,22.8909,-109.9124,90.81,72,15,9.91,MX,1630971918
urbano santos,-3.2078,-43.4036,77.83,79,62,7.45,BR,1630971919
tuktoyaktuk,69.4541,-133.0374,41.0,93,90,24.16,CA,1630971919
east london,-33.0153,27.9116,59.04,70,100,12.82,ZA,1630971919
havelock,34.8791,-76.9013,82.63,82,67,1.99,US,1630971913
juba,4.8517,31.5825,69.19,85,27,0.83,SS,1630971920
hoshcha,50.6003,26.6744,44.85,65,40,5.14,UA,1630971921
labytnangi,66.6572,66.4183,40.42,87,87,14.36,RU,1630971921
inhambane,-23.865,35.3833,69.75,91,5,7.02,MZ,1630971921
korla,41.7597,86.1469,70.74,29,0,1.57,CN,1630971922
cherskiy,68.75,161.3,33.19,87,100,18.14,RU,1630971923
saint-philippe,-21.3585,55.7679,67.55,78,52,14.54,RE,1630971923
banjar,-8.19,114.9675,78.66,74,61,3.83,ID,1630971924
faya,18.3851,42.4509,68.11,26,33,3.58,SA,1630971924
souillac,-20.5167,57.5167,70.18,68,40,18.41,MU,1630971924
katsuura,35.1333,140.3,71.64,64,74,17.11,JP,1630971925
gunnedah,-30.9833,150.25,55.02,65,0,4.0,AU,1630971925
tual,-5.6667,132.75,80.67,80,43,25.77,ID,1630971926
liku,-0.7275,119.8922,78.1,84,100,2.01,ID,1630971926
ankang,32.68,109.0172,68.5,95,100,0.78,CN,1630971927
husavik,66.0449,-17.3389,49.91,93,94,8.37,IS,1630971927
wilmington,34.2257,-77.9447,80.96,70,45,3.0,US,1630971437
saint-pierre,-21.3393,55.4781,67.64,70,20,5.75,RE,1630971928
ayorou,14.7308,0.9174,88.12,48,73,14.5,NE,1630971928
borger,52.9233,6.7931,60.82,91,97,3.13,NL,1630971929
nancha,47.1333,129.2667,63.19,61,100,1.92,CN,1630971929
tateyama,34.9833,139.8667,70.07,66,46,13.04,JP,1630971930
mar del plata,-38.0023,-57.5575,51.82,100,75,10.36,AR,1630971923
floro,61.5996,5.0328,57.96,100,90,17.27,NO,1630971930
guatire,10.4762,-66.5427,81.1,97,59,2.37,VE,1630971931
tutoia,-2.7619,-42.2744,79.23,80,55,12.39,BR,1630971931
lompoc,34.6391,-120.4579,93.34,65,1,14.97,US,1630971932
carnarvon,-24.8667,113.6333,51.87,82,7,3.44,AU,1630971932
zhanaozen,43.3,52.8,70.83,33,74,20.27,KZ,1630971933
saint george,37.1041,-113.5841,104.47,12,1,1.01,US,1630971933
omsukchan,62.5333,155.8,40.77,85,100,6.06,RU,1630971934
samarai,-10.6167,150.6667,79.34,71,87,17.98,PG,1630971934
cairns,-16.9167,145.7667,77.11,69,75,16.11,AU,1630971934
lavrentiya,65.5833,-171.0,37.62,92,100,3.38,RU,1630971935
vao,-22.6667,167.4833,69.39,77,4,8.93,NC,1630971935
lagoa,39.05,-27.9833,68.25,78,98,12.28,PT,1630971935
los llanos de aridane,28.6585,-17.9182,73.15,82,20,3.44,ES,1630971936
hofn,64.2539,-15.2082,52.75,88,100,2.35,IS,1630971936
vila velha,-20.3297,-40.2925,73.35,83,90,13.8,BR,1630971937
mana,5.6592,-53.7767,78.37,88,100,8.39,GF,1630971937
bourail,-21.5667,165.4833,75.04,64,54,10.4,NC,1630971938
qaqortoq,60.7167,-46.0333,46.9,79,21,4.45,GL,1630971938
camacha,33.0833,-16.3333,71.02,78,20,10.36,PT,1630971938
evreux,49.0241,1.1508,70.61,60,0,6.91,FR,1630971939
freeport,40.6576,-73.5832,80.78,48,1,8.99,US,1630971908
avarua,-21.2078,-159.775,77.05,73,75,16.11,CK,1630971939
codrington,-38.2667,141.9667,55.54,75,44,15.14,AU,1630971940
palana,59.1167,159.9667,46.24,53,64,4.21,RU,1630971940
okmulgee,35.6234,-95.9605,92.12,40,1,5.75,US,1630971941
esperance,-33.8667,121.9,51.64,49,0,21.0,AU,1630971941
christiansburg,37.1298,-80.4089,71.44,73,1,0.0,US,1630971906
